,catagory_name,sub_catagory_name,sum_bill_no
0,UG,UG,dummy/210/6
1,WOOLLEN,JACKET,dummy/224/366
2,WOOLLEN,CARDIGAN,dummy/232/40
3,WOOLLEN,CARDIGAN,dummy/221/218
4,PARDA,LATTA,dummy/237/69
5,PARDA,LATTA,dummy/244/216
6,MENS,JEANS,dummy/210/170
7,MENS,CAPRI,dummy/223/202
8,MENS,LOWER,dummy/225/198
9,MENS,BLAZER,dummy/227/156
10,MENS,LOWER,dummy/245/134
11,MENS,BERMUDA,dummy/245/140
12,MENS,KURTA SUIT,dummy/244/142
13,MENS,SHIRT,dummy/244/91
14,MENS,LOWER,dummy/244/110
15,WOOLLEN,JACKET,dummy/252/128
16,MENS,BERMUDA,dummy/255/54
17,MENS,LOWER,dummy/248/213
18,MENS,BERMUDA,dummy/249/175
19,MENS,JEANS,dummy/250/75
20,MENS,BERMUDA,dummy/257/150
21,MENS,LOWER,dummy/255/28
22,GIRLS,DRESS,dummy/255/54
23,GIRLS,GIRLS SET,dummy/252/23
24,GIRLS,TOP SET,dummy/253/35
25,GIRLS,DRESS,dummy/249/104
26,GIRLS,GIRLS SET,dummy/252/138
27,GIRLS,CAPRI,dummy/249/130
28,GIRLS,DRESS,dummy/253/191
29,GIRLS,DRESS,dummy/253/204
30,GIRLS,DRESS,dummy/250/121
31,GIRLS,DRESS,dummy/257/42
32,GIRLS,DRESS,dummy/250/26
33,GIRLS,DRESS,dummy/257/59
34,GIRLS,DRESS,dummy/250/295
35,PARDA PC,NAPKIN,dummy/252/88
36,PARDA PC,PARDA PC,dummy/251/186
37,BOYS,NIGHT SUIT,dummy/248/184
38,BOYS,BABASUIT,dummy/251/226
39,BOYS,THERMAL,dummy/250/296
40,BOYS,BABASUIT,dummy/250/116
41,TEENS,BRA,dummy/252/77
42,BLANKET,BLANKET,dummy/248/155
43,BLANKET,BLANKET,dummy/248/158
44,BLANKET,BLANKET,dummy/254/188
45,BLANKET,BLANKET,dummy/251/216
46,BLANKET,BLANKET,dummy/252/118
47,BLANKET,BLANKET,dummy/252/142
48,BLANKET,BLANKET,dummy/255/119
49,BLANKET,BLANKET,dummy/252/152
50,BLANKET,BLANKET,dummy/252/156
51,BLANKET,BLANKET,dummy/252/184
52,BLANKET,BLANKET,dummy/252/206
53,BLANKET,BLANKET,dummy/248/178
54,BLANKET,BLANKET,dummy/254/108
55,BLANKET,BLANKET,dummy/248/31
56,BLANKET,BLANKET,dummy/257/50
57,BLANKET,BLANKET,dummy/249/49
58,WOOLLEN,NEW BORN BABASUIT,dummy/254/242
59,WOOLLEN,NEW BORN BABASUIT,dummy/256/60
60,WOOLLEN,NEW BORN BABASUIT,dummy/245/325
61,PARDA,PARDA,dummy/256/39
62,PARDA,PARDA,dummy/245/169
63,PARDA,PARDA,dummy/245/170
64,MENS,SHIRT,dummy/254/88
65,MENS,SHIRT,dummy/252/277
66,MENS,SHIRT,dummy/252/286
67,MENS,LOWER,dummy/252/248
68,MENS,KURTA PYJAMA,dummy/248/11
69,MENS,TRACK SUIT,dummy/256/250
70,MENS,JEANS,dummy/255/266
71,MENS,KURTA PYJAMA,dummy/258/132
72,MENS,TROUSER,dummy/256/44
73,MENS,SHIRT,dummy/173/32
74,MENS,SHIRT,dummy/173/79
75,MENS,SHIRT,dummy/174/73
76,MENS,TROUSER,dummy/172/58
77,MENS,TROUSER,dummy/245/188
78,MENS,KURTA PYJAMA,dummy/245/194
79,MENS,TROUSER,dummy/246/32
80,MENS,SHIRT,dummy/244/197
81,MENS,TROUSER,dummy/245/228
82,MENS,KURTA PYJAMA,dummy/245/261
83,MENS,T-SHIRT,dummy/246/84
84,MENS,KURTA PYJAMA,dummy/246/75
85,GIRLS,DRESS,dummy/253/308
86,GIRLS,FROCK,dummy/258/216
87,GIRLS,GIRLS SET,dummy/245/203
88,READYMADE UNIFORM,SWEATER,dummy/255/166
89,WOOLLEN,CAP,dummy/246/149
90,WOOLLEN,CAP,dummy/246/186
91,WOOLLEN,CAP,dummy/226/93
92,WOOLLEN,CAP,dummy/232/130
93,WOOLLEN,CAP,dummy/231/91
94,PARDA,PARDA,dummy/238/396
95,PARDA,PARDA,dummy/241/31
96,PARDA,PARDA,dummy/241/105
97,PARDA,PARDA,dummy/226/166
98,PARDA,PARDA,dummy/232/120
99,PARDA,PARDA,dummy/227/163
100,WOOLLEN,NEW BORN BABASUIT,dummy/229/178
101,WOOLLEN,CAP,dummy/231/224
102,WOOLLEN,JACKET,dummy/234/137
103,WOOLLEN,CAP,dummy/228/58
104,WOOLLEN,CAP,dummy/231/332
105,WOOLLEN,NEW BORN BABASUIT,dummy/236/4
106,WOOLLEN,JACKET,dummy/241/86
107,WOOLLEN,CAP,dummy/223/5
108,WOOLLEN,CAP,dummy/225/64
109,WOOLLEN,NEW BORN BABASUIT,dummy/227/229
110,PARDA,PARDA,dummy/225/144
111,PARDA,PARDA,dummy/216/171
112,PARDA,PARDA,dummy/209/445
113,MENS,TROUSER,dummy/224/281
114,WOOLLEN,CAP,dummy/230/35
115,WOOLLEN,CAP,dummy/224/115
116,WOOLLEN,CAP,dummy/226/119
117,WOOLLEN,CAP,dummy/220/165
118,WOOLLEN,CAP,dummy/223/15
119,WOOLLEN,CAP,dummy/224/313
120,WOOLLEN,CAP,dummy/226/162
121,WOOLLEN,NEW BORN BABASUIT,dummy/223/197
122,WOOLLEN,CAP,dummy/225/246
123,WOOLLEN,CAP,dummy/228/185
124,WOOLLEN,CAP,dummy/230/310
125,WOOLLEN,CAP,dummy/231/249
126,WOOLLEN,CAP,dummy/221/7
127,WOOLLEN,CAP,dummy/224/417
128,WOOLLEN,CAP,dummy/224/417
129,WOOLLEN,JACKET,dummy/227/3
130,WOOLLEN,CAP,dummy/231/127
131,WOOLLEN,CAP,dummy/221/201
132,WOOLLEN,CAP,dummy/224/408
133,WOOLLEN,NEW BORN BABASUIT,dummy/236/26
134,WOOLLEN,CAP,dummy/232/259
135,WOOLLEN,CAP,dummy/233/86
136,WOOLLEN,NEW BORN BABASUIT,dummy/235/130
137,PARDA,PARDA,dummy/209/534
138,PARDA,PARDA,dummy/240/31
139,PARDA,PARDA,dummy/218/151
140,PARDA,PARDA,dummy/223/248
141,MENS,KURTA PYJAMA,dummy/212/114
142,MENS,KURTA PYJAMA,dummy/213/48
143,MENS,SHIRT,dummy/215/143
144,WOOLLEN,CAP,dummy/229/206
145,WOOLLEN,TEENS JACKET,dummy/241/45
146,WOOLLEN,CAP,dummy/248/52
147,PARDA,PARDA,dummy/253/102
148,MENS,SHIRT,dummy/176/150
149,MENS,SHIRT,dummy/179/169
150,MENS,JEANS,dummy/185/223
151,MENS,PANT,dummy/186/175
152,MENS,SHIRT,dummy/173/143
153,MENS,SHIRT,dummy/173/146
154,MENS,SHIRT,dummy/173/146
155,MENS,SHIRT,dummy/173/147
156,WOOLLEN,CAP,dummy/250/273
157,WOOLLEN,NEW BORN BABASUIT,dummy/255/282
158,WOOLLEN,JACKET,dummy/245/379
159,PARDA,PARDA,dummy/253/312
160,MENS,SHIRT,dummy/257/121
161,MENS,SHIRT,dummy/248/165
162,MENS,TROUSER,dummy/250/309
163,MENS,TROUSER,dummy/250/310
164,MENS,SHIRT,dummy/257/159
165,MENS,JACKET,dummy/250/245
166,MENS,LOWER,dummy/251/9
167,MENS,TROUSER,dummy/257/216
168,MENS,TROUSER,dummy/251/23
169,MENS,LOWER,dummy/258/14
170,MENS,TROUSER,dummy/258/88
171,MENS,SHIRT,dummy/258/115
172,MENS,KURTA PYJAMA,dummy/252/435
173,MENS,KURTA PYJAMA,dummy/255/38
174,MENS,LOWER,dummy/256/215
175,UG,UG,dummy/237/9
176,WOOLLEN,JACKET,dummy/226/17
177,WOOLLEN,CARDIGAN,dummy/232/127
178,MENS,KURTA PYJAMA,dummy/209/662
179,MENS,SHIRT,dummy/209/164
180,MENS,SHIRT,dummy/231/316
181,MENS,SHIRT,dummy/208/306
182,MENS,TROUSER,dummy/208/209
183,WOOLLEN,JACKET,dummy/243/104
184,MENS,T-SHIRT,dummy/209/818
185,MENS,T-SHIRT,dummy/212/99
186,WOOLLEN,JACKET,dummy/239/53
187,WOOLLEN,JACKET,dummy/238/84
188,WOOLLEN,JACKET,dummy/245/17
189,WOOLLEN,JACKET,dummy/245/428
190,MENS,JEANS,dummy/210/134
191,MENS,KURTA PYJAMA,dummy/247/26
192,MENS,LOWER,dummy/242/20
193,MENS,LOWER,dummy/242/30
194,MENS,KURTA PYJAMA,dummy/244/149
195,MENS,SHIRT,dummy/195/164
196,WOOLLEN,JACKET,dummy/253/18
197,WOOLLEN,JACKET,dummy/249/196
198,WOOLLEN,JACKET,dummy/256/234
199,WOOLLEN,SWEATER,dummy/246/205
200,MENS,TROUSER,dummy/248/208
201,MENS,LOWER,dummy/250/187
202,MENS,JEANS,dummy/253/19
203,MENS,T-SHIRT,dummy/250/294
204,MENS,T-SHIRT,dummy/249/78
205,MENS,JEANS,dummy/257/121
206,MENS,T-SHIRT,dummy/254/70
207,MENS,T-SHIRT,dummy/257/196
208,MENS,T-SHIRT,dummy/251/71
209,MENS,SHIRT,dummy/252/398
210,MENS,SAFA,dummy/249/4
211,MENS,JEANS,dummy/256/232
212,MENS,SHIRT,dummy/257/35
213,MENS,P H,dummy/251/292
214,MENS,SHIRT,dummy/254/146
215,MENS,T-SHIRT,dummy/258/158
216,MENS,JEANS,dummy/256/59
217,MENS,SHIRT,dummy/173/32
218,GIRLS,GIRLS SET,dummy/249/140
219,GIRLS,TOP SET,dummy/251/61
220,WOOLLEN,CAP,dummy/245/320
221,UG,UG,dummy/224/3
222,WOOLLEN,CARDIGAN,dummy/247/80
223,WOOLLEN,CARDIGAN,dummy/247/166
224,WOOLLEN,CAP,dummy/244/115
225,SAREE,KHOLI,dummy/195/217
226,WOOLLEN,CAP,dummy/249/114
227,WOOLLEN,SWEAT SHIRT,dummy/252/186
228,WOOLLEN,CAP,dummy/250/8
229,MENS,CAPRI,dummy/172/84
230,MENS,JEANS,dummy/185/96
231,MENS,T-SHIRT,dummy/185/271
232,MENS,T-SHIRT,dummy/186/167
233,MENS,KURTA PYJAMA,dummy/186/153
234,MENS,LOWER,dummy/186/211
235,MENS,KURTA PYJAMA,dummy/185/284
236,MENS,JEANS,dummy/255/80
237,MENS,SHIRT,dummy/252/469
238,MENS,SHIRT,dummy/252/40
239,WOOLLEN,SWEAT SHIRT,dummy/252/348
240,PARDA,PARDA,dummy/258/146
241,PARDA,PARDA,dummy/246/31
242,MENS,T-SHIRT,dummy/257/222
243,MENS,BLAZER,dummy/252/276
244,MENS,T-SHIRT,dummy/253/318
245,MENS,KURTA PYJAMA,dummy/252/434
246,MENS,SHIRT,dummy/258/188
247,MENS,JEANS,dummy/258/201
248,MENS,T-SHIRT,dummy/258/230
249,MENS,GIFT SET,dummy/173/83
250,MENS,T-SHIRT,dummy/172/57
251,MENS,KURTA PYJAMA,dummy/246/195
252,MENS,LOWER,dummy/246/207
253,MENS,PANT,dummy/246/140
254,MENS,T-SHIRT,dummy/247/193
255,GIRLS,JEANS,dummy/255/161
256,GIRLS,TOP SET,dummy/258/232
257,GIRLS,TOP SET,dummy/245/404
258,SUITING,SUITING,dummy/251/357
259,BOYS,MIX ITEM,dummy/258/23
260,BOYS,MIX ITEM,dummy/250/226
261,BOYS,KURTA SET,dummy/258/105
262,BOYS,T-SHIRT,dummy/249/34
263,BOYS,BABASUIT,dummy/255/243
264,BOYS,BABASUIT,dummy/258/211
265,TEENS,T-SHIRT,dummy/250/227
266,TEENS,T-SHIRT,dummy/252/343
267,BLANKET,BLANKET,dummy/244/185
268,BLANKET,BLANKET,dummy/245/181
269,BLANKET,BLANKET,dummy/245/183
270,BLANKET,BLANKET,dummy/245/191
271,BLANKET,BLANKET,dummy/244/194
272,BLANKET,BLANKET,dummy/245/195
273,BLANKET,BLANKET,dummy/245/200
274,BLANKET,BLANKET,dummy/245/201
275,BLANKET,BLANKET,dummy/245/209
276,BLANKET,BLANKET,dummy/246/26
277,BLANKET,BLANKET,dummy/246/27
278,BLANKET,BLANKET,dummy/245/478
279,BLANKET,BLANKET,dummy/245/210
280,WOOLLEN,JACKET,dummy/219/142
281,PARDA,PARDA,dummy/235/27
282,MENS,T-SHIRT,dummy/235/206
283,MENS,T-SHIRT,dummy/237/36
284,MENS,LOWER,dummy/240/181
285,MENS,SHIRT,dummy/209/52
286,MENS,SHIRT,dummy/209/646
287,PARDA,PARDA,dummy/236/54
288,PARDA,PARDA,dummy/231/71
289,MENS,SHIRT,dummy/209/281
290,MENS,GIFT SET,dummy/215/135
291,MENS,T-SHIRT,dummy/221/97
292,MENS,JEANS,dummy/221/102
293,MENS,T-SHIRT,dummy/226/56
294,MENS,SHIRT,dummy/227/147
295,WOOLLEN,JACKET,dummy/242/102
296,WOOLLEN,JACKET,dummy/243/224
297,WOOLLEN,JACKET,dummy/231/397
298,WOOLLEN,JACKET,dummy/236/174
299,PARDA,PARDA,dummy/240/33
300,WOOLLEN,JACKET,dummy/229/136
301,WOOLLEN,HOODIES,dummy/220/119
302,MENS,JEANS,dummy/237/103
303,MENS,T-SHIRT,dummy/214/155
304,MENS,PANT,dummy/223/250
305,MENS,T-SHIRT,dummy/226/270
306,MENS,T-SHIRT,dummy/230/270
307,MENS,T-SHIRT,dummy/244/208
308,MENS,T-SHIRT,dummy/247/199
309,MENS,KURTA PYJAMA,dummy/241/7
310,MENS,JEANS,dummy/244/91
311,MENS,T-SHIRT,dummy/202/230
312,GIRLS,GIRLS SET,dummy/236/62
313,GIRLS,TOP SET,dummy/238/384
314,GIRLS,GIRLS SET,dummy/209/911
315,PARDA,PARDA,dummy/198/297
316,MENS,SHIRT,dummy/200/186
317,MENS,JEANS,dummy/200/186
318,PARDA,PARDA,dummy/193/205
319,MENS,T-SHIRT,dummy/193/303
320,MENS,T-SHIRT,dummy/195/316
321,MENS,PANT,dummy/197/154
322,PARDA,PARDA,dummy/174/185
323,PARDA,PARDA,dummy/187/4
324,PARDA,PARDA,dummy/252/74
325,MENS,T-SHIRT,dummy/185/91
326,MENS,GIFT SET,dummy/185/133
327,MENS,T-SHIRT,dummy/185/156
328,MENS,T-SHIRT,dummy/185/187
329,MENS,T-SHIRT,dummy/185/58
330,MENS,T-SHIRT,dummy/185/181
331,MENS,GIFT SET,dummy/173/121
332,MENS,T-SHIRT,dummy/173/130
333,MENS,T-SHIRT,dummy/186/28
334,PARDA,PARDA,dummy/250/329
335,PARDA,PARDA,dummy/251/10
336,PARDA,PARDA,dummy/258/79
337,PARDA,LATTA,dummy/257/247
338,MENS,SHIRT,dummy/257/109
339,MENS,SHIRT,dummy/254/40
340,MENS,SHIRT,dummy/250/110
341,MENS,T-SHIRT,dummy/257/222
342,MENS,T-SHIRT,dummy/252/383
343,MENS,JEANS,dummy/255/171
344,MENS,T-SHIRT,dummy/251/363
345,MENS,SHIRT,dummy/258/214
346,MENS,ROLL BOX,dummy/173/44
347,MENS,SHIRT,dummy/174/76
348,MENS,SHIRT,dummy/245/270
